symbol,name,exchange
492220.KQ,KB제31호스팩,코스닥
489480.KQ,키움제11호스팩,코스닥
415640.KS,KB발해인프라,유가
489730.KQ,디비금융제13호스팩,코스닥
489210.KQ,교보17호스팩,코스닥
482690.KQ,대신밸런스제19호스팩,코스닥
459100.KQ,위츠,코스닥
389680.KQ,유디엠텍,코스닥
474610.KQ,RF시스템즈,코스닥
466410.KQ,사이냅소프트,코스닥
484130.KQ,하나34호스팩,코스닥
475660.KQ,에스켐,코스닥
413390.KQ,엠오티,코스닥
487830.KQ,신한제15호스팩,코스닥
394800.KQ,쓰리빌리언,코스닥
464580.KQ,닷밀,코스닥
473980.KQ,노머스,코스닥
163280.KQ,에어레인,코스닥
475960.KQ,토모큐브,코스닥
475560.KS,더본코리아,유가
376270.KQ,HEM파마,코스닥
475580.KQ,에이럭스,코스닥
336680.KQ,탑런토탈솔루션,코스닥
458650.KQ,성우,코스닥
488060.KQ,유진스팩11호,코스닥
476710.KS,타조이엔터테인먼트,코넥스
466100.KQ,클로봇,코스닥
044990.KQ,에이치엔에스하이텍,코스닥
289930.KQ,웨이비스,코스닥
475400.KQ,씨메스로보틱스,코스닥
457370.KQ,한켐,코스닥
474170.KQ,루미르,코스닥
209640.KQ,와이제이링크,코스닥
465480.KQ,인스피언,코스닥
308430.KQ,셀비온,코스닥
381620.KQ,제닉스로보틱스,코스닥
351870.KQ,차이커뮤니케이션,코스닥
489790.KS,한화비전,유가
486630.KQ,KB제30호스팩,코스닥
464500.KQ,아이언디바이스,코스닥
482680.KQ,미래에셋비전스팩7호,코스닥
469750.KQ,아이비젼웍스,코스닥
461300.KQ,아이스크림미디어,코스닥
456070.KQ,이엔셀,코스닥
476080.KQ,M83,코스닥
464280.KQ,티디에스팜,코스닥
389650.KQ,넥스트바이오메디컬,코스닥
431190.KQ,케이쓰리아이,코스닥
079900.KS,전진건설로봇,유가
088340.KQ,유라클,코스닥
482520.KQ,교보16호스팩,코스닥
199480.KQ,뱅크웨어글로벌,코스닥
460470.KQ,아이빔테크놀로지,코스닥
460940.KQ,피앤에스로보틱스,코스닥
487570.KS,HS효성,유가
062040.KS,산일전기,유가
481890.KQ,엔에이치스팩31호,코스닥
473950.KQ,SK증권제13호스팩,코스닥
373110.KQ,엑셀세라퓨틱스,코스닥
478110.KQ,이베스트스팩6호,코스닥
462870.KS,시프트업,유가
450330.KQ,하스,코스닥
462350.KQ,이노스페이스,코스닥
481850.KS,신한글로벌액티브리츠,유가
295310.KQ,에이치브이엠,코스닥
266350.KS,팡스카이,코넥스
160190.KQ,하이젠알앤엠,코스닥
479880.KQ,한국제15호스팩,코스닥
464080.KQ,에스오에스랩,코스닥
478440.KQ,미래에셋비전스팩6호,코스닥
477340.KQ,에이치엠씨제7호스팩,코스닥
034230.KS,파라다이스,유가
107640.KQ,한중엔시에스,코스닥
478390.KQ,KB제29호스팩,코스닥
477470.KQ,미래에셋비전스팩5호,코스닥
458870.KQ,씨어스,코스닥
477760.KQ,디비금융스팩12호,코스닥
462510.KQ,라메디텍,코스닥
453450.KQ,그리드위즈,코스닥
323350.KQ,다원넥스뷰,코스닥
477380.KQ,미래에셋비전스팩4호,코스닥
145170.KQ,노브랜드,코스닥
456010.KQ,아이씨티케이,코스닥
443060.KS,HD현대마린솔루션,유가
473000.KQ,SK증권제12호스팩,코스닥
126730.KQ,코칩,코스닥
452200.KQ,민테크,코스닥
140430.KQ,카티스,코스닥
347850.KQ,디앤디파마텍,코스닥
474490.KQ,유안타제16호스팩,코스닥
412540.KQ,제일엠앤에스,코스닥
451250.KQ,삐아,코스닥
475250.KQ,하나33호스팩,코스닥
474930.KQ,신한제13호스팩,코스닥
474660.KQ,신한제12호스팩,코스닥
461030.KQ,아이엠비디엑스,코스닥
475150.KS,SK이터닉스,유가
475240.KQ,하나32호스팩,코스닥
455900.KQ,엔젤로보틱스,코스닥
420570.KQ,제이투케이바이오,코스닥
437730.KQ,삼현,코스닥
036220.KQ,오상헬스케어,코스닥
199430.KQ,케이엔알시스템,코스닥
469900.KQ,하나31호스팩,코스닥
472230.KQ,SK증권제11호스팩,코스닥
473050.KQ,유안타제15호스팩,코스닥
468760.KQ,유진스팩10호,코스닥
278470.KS,에이피알,유가
418620.KQ,E8,코스닥
360350.KQ,코셈,코스닥
068100.KQ,케이웨더,코스닥
452430.KQ,사피엔반도체,코스닥
443670.KQ,에스피소프트,코스닥
415380.KQ,스튜디오삼익,코스닥
472220.KQ,신영스팩10호,코스닥
472850.KQ,폰드그룹,코스닥
469480.KQ,IBKS제24호스팩,코스닥
199550.KQ,레이저옵텍,코스닥
452400.KQ,이닉스,코스닥
066970.KS,엘앤에프,유가
105760.KQ,포스뱅크,코스닥
460930.KQ,현대힘스,코스닥
440290.KQ,HB인베스트먼트,코스닥
362990.KQ,드림인사이트,코스닥
471050.KQ,대신밸런스제17호스팩,코스닥
457550.KQ,우진엔텍,코스닥
267080.KS,세븐브로이맥주,코넥스
452190.KQ,한빛레이저,코스닥
022100.KS,포스코DX,유가
017860.KS,DS단석,유가
467930.KQ,IBKS제23호스팩,코스닥
469880.KQ,하나30호스팩,코스닥
109670.KQ,씨싸이트,코스닥
439580.KQ,블루엠텍,코스닥
417200.KQ,LS머트리얼즈,코스닥
432470.KQ,케이엔에스,코스닥
465320.KQ,교보15호스팩,코스닥
338840.KQ,와이바이오로직스,코스닥
355690.KQ,에이텀,코스닥
466910.KQ,엔에이치스팩30호,코스닥
453860.KQ,에이에스텍,코스닥
402490.KQ,그린리소스,코스닥
452160.KQ,제이엔비,코스닥
452280.KQ,한선엔지니어링,코스닥
111380.KS,동인기연,유가
448280.KQ,에코아이,코스닥
352090.KQ,스톰테크,코스닥
450080.KS,에코프로머티,유가
452300.KQ,캡스톤파트너스,코스닥
296160.KS,프로젠,코넥스
365330.KQ,에스와이스틸텍,코스닥
445090.KQ,에이직랜드,코스닥
464440.KQ,한국제13호스팩,코스닥
446540.KQ,메가터치,코스닥
413640.KQ,비아이매트릭스,코스닥
451760.KQ,컨텍,코스닥
372320.KQ,큐로셀,코스닥
088280.KQ,쏘닉스,코스닥
464680.KQ,KB제27호스팩,코스닥
188260.KQ,세니젠,코스닥
290560.KQ,파라택시스이더리움,코스닥
240600.KQ,유진테크놀로지,코스닥
221800.KQ,지구홀딩스,코스닥
432720.KQ,퀄리타스반도체,코스닥
351020.KS,미쥬,코넥스
396470.KQ,워트,코스닥
246250.KQ,에스엘에스바이오,코스닥
416180.KQ,신성에스티,코스닥
445180.KQ,퓨릿,코스닥
289170.KS,바이오텐,코넥스
462020.KQ,에이치엠씨제6호스팩,코스닥
451220.KQ,아이엠티,코스닥
443250.KQ,레뷰코퍼레이션,코스닥
454910.KS,두산로보틱스,유가
430690.KQ,한싹,코스닥
418470.KQ,KT밀리의서재,코스닥
450520.KQ,인스웨이브,코스닥
403490.KQ,우듬지팜,코스닥
384470.KQ,코어라인소프트,코스닥
465770.KS,STX그린로지스,유가
146060.KQ,율촌,코스닥
355390.KQ,크라우드웍스,코스닥
418250.KQ,시큐레터,코스닥
424960.KQ,스마트레이더시스템,코스닥
092790.KS,넥스틸,유가
210120.KQ,캔버스엔,코스닥
448710.KQ,코츠테크놀로지,코스닥
445680.KQ,큐리옥스바이오시스템즈,코스닥
030190.KS,NICE평가정보,유가
440110.KQ,파두,코스닥
373170.KQ,엠아이큐브솔루션,코스닥
429270.KQ,시지트로닉스,코스닥
446440.KS,에피바이오텍,코넥스
462520.KS,조선내화,유가
172670.KQ,에이엘티,코스닥
388870.KQ,파로스아이바이오,코스닥
438700.KQ,버넥트,코스닥
406820.KQ,뷰티스킨,코스닥
432430.KQ,와이랩,코스닥
321370.KQ,센서뷰,코스닥
456570.KS,아이엠지티,코넥스
378340.KQ,필에너지,코스닥
274400.KQ,이노시뮬레이션,코스닥
354320.KQ,알멕,코스닥
440320.KQ,오픈놀,코스닥
232830.KQ,아이티센피엔에스,코스닥
451700.KQ,엔에이치스팩29호,코스닥
296520.KS,가이아코퍼레이션,코넥스
090460.KS,비에이치,유가
460850.KS,동국씨엠,유가
460860.KS,동국제강,유가
303360.KQ,프로티아,코스닥
348080.KQ,큐라티스,코스닥
439090.KQ,마녀공장,코스닥
405920.KQ,나라셀라,코스닥
285800.KQ,진영,코스닥
457190.KS,이수스페셜티케미컬,유가
456040.KS,OCI,유가
420770.KQ,기가비스,코스닥
271830.KQ,팸텍,코스닥
434480.KQ,모니터랩,코스닥
340810.KQ,시선AI,코스닥
456190.KS,큐라켐,코넥스
446840.KQ,지슨,코스닥
417790.KQ,트루엔,코스닥
304360.KQ,에스바이오메딕스,코스닥
298830.KQ,슈어소프트테크,코스닥
393210.KQ,토마토시스템,코스닥
424980.KQ,마이크로투나노,코스닥
318160.KQ,셀바이오휴먼텍,코스닥
100090.KS,SK오션플랜트,유가
448730.KS,삼성FN리츠,유가
453340.KS,현대그린푸드,유가
452260.KS,한화갤러리아,유가
358570.KQ,지아이이노베이션,코스닥
309960.KQ,LB인베스트먼트,코스닥
451800.KS,한화리츠,유가
356680.KQ,엑스게이트,코스닥
282720.KQ,금양그린파워,코스닥
418420.KQ,라온텍,코스닥
389020.KQ,자람테크놀로지,코스닥
417010.KQ,나노팀,코스닥
199730.KQ,바이오인프라,코스닥
344860.KQ,이노진,코스닥
127980.KQ,화인써키트,코스닥
418550.KQ,제이오,코스닥
411080.KQ,샌즈랩,코스닥
407400.KQ,꿈비,코스닥
408900.KQ,스튜디오미르,코스닥
419050.KQ,삼기에너지솔루션즈,코스닥
417860.KQ,오브젠,코스닥
254490.KQ,미래반도체,코스닥
052960.KS,태양3C,코넥스
425040.KQ,티이엠씨,코스닥
198940.KQ,한주라이트메탈,코스닥
380540.KQ,옵티코어,코스닥
447690.KS,아이오바이오,코넥스
346010.KS,타이드,코넥스
162300.KQ,신스틸,코스닥
377740.KS,바이오노트,유가
448780.KS,마이크로엔엑스,코넥스
390110.KS,애니메디솔루션,코넥스
417180.KQ,핑거스토리,코스닥
419530.KQ,SAMG엔터,코스닥
102950.KS,아하,코넥스
311960.KS,인터로이드,코넥스
446070.KS,유니드비티플러스,유가
168360.KQ,펨트론,코스닥
389470.KQ,인벤티지랩,코스닥
419080.KQ,엔젯,코스닥
084440.KQ,유비온,코스닥
204610.KQ,티쓰리,코스닥
425420.KQ,티에프이,코스닥
